profile_id,strategy,clinical_faithfulness,affective_faithfulness,overall_faithfulness,turns
P001,consistency,0.9,0.8125,0.8611111111111112,20
P001,standard,0.65,0.875,0.75,20
P001,structured_state,0.74,0.625,0.6888888888888889,15
P002,consistency,0.71666,0.8125,0.7592555555555555,20
P002,standard,0.65,0.9375,0.7777777777777778,20
P002,structured_state,0.9099999999999999,0.5,0.7277777777777777,20
P003,consistency,0.73334,0.9375,0.8240777777777778,20
P003,standard,0.6799999999999999,0.6875,0.6833333333333333,20
P003,structured_state,0.7,0.9375,0.8055555555555556,20
P004,consistency,0.35,0.875,0.5833333333333334,15
P004,standard,0.65666,0.9375,0.7814777777777778,20
P004,structured_state,0.8300000000000001,0.8125,0.8222222222222223,20
P005,consistency,0.64,0.6875,0.6611111111111111,20
P005,standard,0.7,0.9375,0.8055555555555556,20
P005,structured_state,1.0,0.9375,0.9722222222222222,20
P006,consistency,0.65,1.0,0.8055555555555556,20
P006,standard,0.4,0.9375,0.6388888888888888,20
P006,structured_state,0.4,0.9375,0.6388888888888888,20
P007,consistency,0.39,0.5625,0.4666666666666667,20
P007,standard,0.18334,0.875,0.4907444444444445,20
P007,structured_state,0.67,0.6875,0.6777777777777777,20
P008,consistency,0.61666,0.875,0.7314777777777777,20
P008,standard,0.61666,0.875,0.7314777777777777,20
P008,structured_state,0.9,0.875,0.8888888888888888,20
P009,consistency,0.4,1.0,0.6666666666666666,20
P009,standard,0.35,0.6875,0.5,20
P009,structured_state,0.75,0.5,0.6388888888888888,20
P010,consistency,0.4,0.8125,0.5833333333333334,20
P010,standard,0.65,0.8125,0.7222222222222222,20
P010,structured_state,0.6,0.75,0.6666666666666666,20
P011,consistency,0.45,0.8125,0.6111111111111112,20
P011,standard,0.17858000000000002,0.625,0.3769888888888889,20
P011,structured_state,0.5571400000000001,0.625,0.5873,20
P012,consistency,0.37858,0.9375,0.6269888888888889,20
P012,standard,0.38334,0.9375,0.6296333333333334,20
P012,structured_state,0.33334,0.875,0.5740777777777778,20
P013,consistency,0.35,1.0,0.6388888888888888,20
P013,standard,0.4,0.5625,0.4722222222222222,20
P013,structured_state,0.6833199999999999,0.4375,0.5740666666666666,20
P014,consistency,0.55,0.875,0.6944444444444444,20
P014,standard,0.64,0.5625,0.6055555555555556,20
P014,structured_state,0.61666,1.0,0.7870333333333333,20
P015,consistency,0.2,0.625,0.3888888888888889,20
P015,standard,0.15,0.75,0.4166666666666667,20
P015,structured_state,0.15,0.6875,0.3888888888888889,20
P016,consistency,0.29,0.6875,0.4666666666666667,20
P016,standard,0.3,0.8125,0.5277777777777778,20
P016,structured_state,0.32999999999999996,0.5625,0.43333333333333335,20
P017,consistency,0.2,0.6875,0.4166666666666667,20
P017,standard,0.2,0.9375,0.5277777777777778,20
P017,structured_state,0.4,0.9375,0.6388888888888888,20
P018,consistency,0.35,0.875,0.5833333333333334,20
P018,standard,0.6,0.625,0.6111111111111112,20
P018,structured_state,0.8,0.9375,0.8611111111111112,20
P019,consistency,0.6,0.6875,0.6388888888888888,20
P019,standard,0.36668,0.625,0.4814888888888889,20
P019,structured_state,0.47000000000000003,0.6875,0.5666666666666667,20
P020,consistency,0.16818,0.625,0.3712111111111111,20
P020,standard,0.23636,0.75,0.4646444444444444,20
P020,structured_state,0.37222,0.75,0.5401222222222223,20
P021,consistency,0.35,0.75,0.5277777777777778,20
P021,standard,0.35,0.5,0.4166666666666667,20
P021,structured_state,0.6,0.3125,0.4722222222222222,20
P022,consistency,0.6,0.625,0.6111111111111112,20
P022,standard,0.575,0.6875,0.625,20
P022,structured_state,0.625,0.625,0.625,20
P023,consistency,0.64444,0.625,0.6358,20
P023,standard,0.66666,0.5625,0.6203666666666666,20
P023,structured_state,0.675,0.875,0.7638888888888888,20
P024,consistency,0.2,0.9375,0.5277777777777778,20
P024,standard,0.2,0.75,0.4444444444444444,20
P024,structured_state,0.6,0.9375,0.75,20
